--- Sampling Parameter ---,,,,,,,,,,,,,,,,
Sampling Time,0.0000002,0.0000002,,,,,,,,,,,,,,
Sample Number,41666,41666,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
--- Sampling Data ---,,,,,,,,,,,,,,,,
Time [sec],TDS_AC [V],Friction [gf],,,,,,,,0.02,41666,,,0.02,41666,
0.000085,0,1.2597,,,,,,,,,,,,,,
0.0000852,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000854,0,1.2597,,,,,,,,,,,,,,
0.0000856,0,1.2597,,,,,,,,,,,,,,
0.0000858,-0.002441,1.2597,,,,,,,,,,,,,,
0.000086,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000862,0.004883,1.2597,,,,,,,,,,,,,,
0.0000864,0,1.243452,,,,,,,,,,,,,,
0.0000866,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000868,-0.002441,1.227205,,,,,,,,,,,,,,
0.000087,0,1.243452,,,,,,,,,,,,,,
0.0000872,0,1.2597,,,,,,,,,,,,,,
0.0000874,0,1.2597,,,,,,,,,,,,,,
0.0000876,0,1.275947,,,,,,,,,,,,,,
0.0000878,0.004883,1.275947,,,,,,,,,,,,,,
0.000088,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000882,0,1.243452,,,,,,,,,,,,,,
0.0000884,-0.002441,1.243452,,,,,,,,,,,,,,
